cambio_simulado,valor_brl,icms_risco
5.6599732436319625,565997.3243631963,101879.51838537533
5.602009794261729,560200.9794261729,100836.17629671111
5.673754807508177,567375.4807508177,102127.58653514719
5.753659569396058,575365.9569396058,103565.87224912904
5.5932566445707605,559325.6644570761,100678.6196022737
5.593258143252825,559325.8143252825,100678.64657855083
5.758788181373009,575878.8181373009,103658.18726471416
5.68468573317442,568468.573317442,102324.34319713955
5.571775573159166,557177.5573159166,100291.96031686499
5.664158245405894,566415.8245405895,101954.8484173061
5.572328453060592,557232.8453060592,100301.91215509066
5.5721173986290715,557211.7398629071,100298.11317532328
5.636718442331447,563671.8442331447,101460.93196196604
5.439979025982959,543997.902598296,97919.62246769326
5.45717352300517,545717.352300517,98229.12341409306
5.563303207053709,556330.3207053709,100139.45772696675
5.522175731846611,552217.5731846611,99399.163173239
5.643316920512235,564331.6920512235,101579.70456922022
5.5317429506957865,553174.2950695787,99571.37311252416
5.485710228850208,548571.0228850208,98742.78411930375
5.748421587323715,574842.1587323715,103471.58857182687
5.59402133842013,559402.133842013,100692.38409156233
5.620795382049108,562079.5382049108,101174.31687688394
5.484574245000012,548457.4245000011,98722.33641000019
5.564937631394868,556493.7631394869,100168.87736510763
5.624756600296128,562475.6600296128,101245.6188053303
5.5095636935427414,550956.3693542741,99172.14648376933
5.648926392280604,564892.6392280604,101680.67506105086
5.559802355102596,555980.2355102595,100076.44239184671
5.588004122071545,558800.4122071544,100584.0741972878
5.5597048707543095,555970.4870754309,100074.68767357756
5.783714713268118,578371.4713268118,104106.86483882612
5.613399047031294,561339.9047031294,101041.1828465633
5.518078918013571,551807.8918013572,99325.42052424428
5.689716417724711,568971.641772471,102414.89551904477
5.5031874911424605,550318.7491142461,99057.3748405643
5.633697058770407,563369.7058770407,101406.54705786733
5.435744366684107,543574.4366684107,97843.39860031391
5.493388834724237,549338.8834724237,98880.99902503626
5.63260143397952,563260.143397952,101386.82581163135
5.6820414011723175,568204.1401172318,102276.74522110171
5.63027433204699,563027.433204699,101344.9379768458
5.604074277632853,560407.4277632853,100873.33699739137
5.587145143450882,558714.5143450882,100568.61258211586
5.479665550612047,547966.5550612047,98633.97991101684
5.548920784256657,554892.0784256657,99880.57411661983
5.572582124496293,557258.2124496293,100306.47824093327
5.711129601401406,571112.9601401406,102800.33282522531
5.6459980224712965,564599.8022471296,101627.96440448333
5.453693560313807,545369.3560313807,98166.48408564852
5.644214849245638,564421.4849245638,101595.86728642148
5.579479232241229,557947.9232241228,100430.62618034211
5.552838900247875,555283.8900247875,99951.10020446175
5.670467461027473,567046.7461027473,102068.4142984945
5.708745013381629,570874.5013381628,102757.4102408693
5.699642215403272,569964.2215403272,102593.55987725889
5.5380238962683945,553802.3896268394,99684.4301328311
5.586404949709306,558640.4949709306,100555.2890947675
5.6448702201167436,564487.0220116744,101607.66396210137
5.703682907703205,570368.2907703205,102666.29233865767
5.570890130713992,557089.0130713992,100276.02235285185
5.597683413019593,559768.3413019592,100758.30143435266
5.513640314853299,551364.0314853298,99245.52566735937
5.505436460368775,550543.6460368774,99097.85628663794
5.688801833938036,568880.1833938035,102398.43301088463
5.738434306747171,573843.4306747171,103291.81752144906
5.608057748737957,560805.7748737957,100945.03947728322
5.706237746726966,570623.7746726966,102712.27944108538
5.647642755597806,564764.2755597805,101657.5696007605
5.555741940258757,555574.1940258758,100003.35492465763
5.647620809111752,564762.0809111751,101657.17456401151
5.755029443716876,575502.9443716876,103590.52998690377
5.611360780862064,561136.0780862065,101004.49405551716
5.757458248452148,575745.8248452148,103634.24847213867
5.375490003021923,537549.0003021923,96758.82005439461
5.689657776100621,568965.777610062,102413.83996981116
5.622577144330501,562257.7144330501,101206.38859794902
5.587336506470562,558733.6506470562,100572.05711647011
5.623007431044072,562300.7431044072,101214.1337587933
5.433197650125768,543319.7650125768,97797.55770226383
5.59457857435654,559457.857435654,100702.41433841773
5.647229836122698,564722.9836122697,101650.13705020855
5.74953938655035,574953.938655035,103491.70895790629
5.56732128854744,556732.128854744,100211.78319385392
5.540828502296743,554082.8502296744,99734.91304134138
5.568828679166333,556882.8679166333,100238.91622499398
5.698192806017794,569819.2806017795,102567.4705083203
5.64464088503735,564464.088503735,101603.5359306723
5.566272435333564,556627.2435333565,100192.90383600416
5.661484295238188,566148.4295238188,101906.71731428738
5.62349276797118,562349.276797118,101222.86982348123
5.703053034807176,570305.3034807176,102654.95462652916
5.550544830488107,555054.4830488107,99909.80694878593
